net_size,experiment,abstol,reltol,vntol,trtol,chgtol,max_err,l1_err,l2_err,Total elapsed time (seconds),elapsed time since last call (seconds),Total DRAM available,DRAM currently available,Maximum ngspice program size,Current ngspice program size,Number of lines in the deck,Netlist loading time,Subckt and Param expansion time,Netlist parsing time,Nominal temperature,Operating temperature,Total iterations,Transient iterations,Circuit Equations,Circuit original non-zeroes,Circuit fill-in non-zeroes,Circuit total non-zeroes,Transient timepoints,Accepted timepoints,Rejected timepoints,Total analysis time (seconds),Matrix load time,Matrix synchronize time,Matrix reorder time,Matrix factor time,Matrix solve time,Transient analysis time,Transient load time,Transient sync time,Transient factor time,Transient solve time,Transient trunc time,Transient iterations for the last time point,AC analysis time,AC load time,AC sync time,AC factor time,AC solve time,success
4,baseline,1e-12,0.001,1e-06,1,1e-14,0.0,0.0,0.0,0.299,0.269,16384.000 MB.,  49.312 MB.,0 bytes.,  97.406 MB.,577,0.001,0.001,0.001,27,27,5867,5861,208,1004,810,1814,2799,2799,0,0.259,0.114,0,0.001,0.065,0.016,0.257,0.114,0,0.065,0.016,0.013,0,0,0,0,0,0,True
4,abstol,1e-09,0.001,1e-06,1,1e-14,1.7285771060526756e-05,0.00026390870469842904,5.377101952982117e-05,0.57,0.267,16384.000 MB.,  49.312 MB.,0 bytes., 106.938 MB.,577,0.001,0.001,0.001,27,27,5851,5845,208,1004,810,1814,2799,2799,0,0.259,0.129,0,0.0,0.047,0.013,0.257,0.129,0,0.046,0.013,0.016,0,0,0,0,0,0,True
4,abstol,1e-06,0.001,1e-06,1,1e-14,0.0008192861346909552,0.013243798586623539,0.0024825329101047663,0.832,0.257,16384.000 MB.,  49.312 MB.,0 bytes., 116.922 MB.,577,0.001,0.001,0.001,27,27,5834,5828,208,1004,810,1814,2799,2799,0,0.251,0.118,0,0.0,0.068,0.007,0.249,0.117,0,0.068,0.007,0.012,0,0,0,0,0,0,True
4,abstol,0.001,0.001,1e-06,1,1e-14,0.0008192861346909552,0.013243798586623539,0.0024825329101047663,1.093,0.256,16384.000 MB.,  67.328 MB.,0 bytes., 118.625 MB.,577,0.0,0.002,0.001,27,27,5834,5828,208,1004,810,1814,2799,2799,0,0.249,0.125,0,0.0,0.054,0.012,0.247,0.125,0,0.054,0.012,0.01,0,0,0,0,0,0,True
4,abstol,0.01,0.001,1e-06,1,1e-14,0.0008192861346909552,0.013243798586623539,0.0024825329101047663,1.353,0.256,16384.000 MB.,  71.391 MB.,0 bytes., 119.953 MB.,577,0.001,0.001,0.001,27,27,5834,5828,208,1004,810,1814,2799,2799,0,0.249,0.116,0,0.0,0.059,0.014,0.247,0.116,0,0.059,0.014,0.012,0,0,0,0,0,0,True
4,reltol,1e-12,0.01,1e-06,1,1e-14,0.004172200961774175,0.1594900226486567,0.0205663793873197,1.614,0.257,16384.000 MB.,  60.422 MB.,0 bytes., 130.250 MB.,577,0.0,0.002,0.001,27,27,5847,5841,208,1004,810,1814,2799,2799,0,0.25,0.113,0,0.0,0.056,0.011,0.248,0.113,0,0.056,0.011,0.023,0,0,0,0,0,0,True
4,reltol,1e-12,0.01,1e-06,1,1e-14,0.004172200961774175,0.1594900226486567,0.0205663793873197,1.876,0.257,16384.000 MB.,  60.500 MB.,0 bytes., 130.969 MB.,577,0.0,0.001,0.001,27,27,5847,5841,208,1004,810,1814,2799,2799,0,0.25,0.132,0,0.0,0.042,0.021,0.248,0.131,0,0.042,0.021,0.014,0,0,0,0,0,0,True
4,reltol,1e-12,0.1,1e-06,1,1e-14,0.0027568443220446492,0.10404716683606065,0.013224885198416957,2.159,0.264,16384.000 MB.,  98.984 MB.,0 bytes., 137.500 MB.,577,0.001,0.001,0.001,27,27,5831,5826,208,1004,810,1814,2799,2799,0,0.257,0.118,0,0.0,0.07,0.01,0.255,0.118,0,0.07,0.01,0.011,0,0,0,0,0,0,True
4,vntol,1e-12,0.001,0.001,1,1e-14,0.0020332691375664624,0.07769838221461055,0.00996642129114213,2.417,0.254,16384.000 MB., 104.266 MB.,0 bytes., 142.125 MB.,577,0.0,0.002,0.001,27,27,5827,5822,208,1004,810,1814,2799,2799,0,0.247,0.112,0,0.0,0.056,0.016,0.245,0.112,0,0.056,0.016,0.006,0,0,0,0,0,0,True
4,vntol,1e-12,0.001,0.01,1,1e-14,0.0020332691375664624,0.07769838221461055,0.00996642129114213,2.678,0.256,16384.000 MB., 104.719 MB.,0 bytes., 142.703 MB.,577,0.0,0.002,0.001,27,27,5827,5822,208,1004,810,1814,2799,2799,0,0.249,0.118,0,0.0,0.051,0.013,0.247,0.118,0,0.051,0.013,0.015,0,0,0,0,0,0,True
